"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2008","51.18","52.00","61.00","50.60","48.47K","-2.10%"
"12/01/2007","52.28","50.40","56.90","49.50","51.83K","3.36%"
"11/01/2007","50.58","52.50","60.75","45.25","68.06K","-6.80%"
"10/01/2007","54.27","44.70","55.25","41.10","65.10K","27.54%"
"09/01/2007","42.55","27.45","42.75","27.45","83.20K","54.67%"
"08/01/2007","27.51","26.80","27.95","23.75","97.29K","-2.00%"
"07/01/2007","28.07","23.25","32.60","22.20","80.99K","31.41%"
"06/01/2007","21.36","21.35","21.75","17.00","61.73K","2.30%"
"05/01/2007","20.88","17.85","26.00","17.75","73.72K","21.75%"
"04/01/2007","17.15","20.00","20.15","14.40","66.51K","-15.48%"
"03/01/2007","20.29","20.99","24.50","18.00","81.46K","7.87%"
"02/01/2007","18.81","22.85","23.00","15.82","72.80K","-19.17%"
"01/01/2007","23.27","31.25","33.55","23.00","49.03K","-27.78%"
"12/01/2006","32.22","45.00","45.40","32.10","22.44K","-31.29%"
"11/01/2006","46.89","57.40","57.40","37.50","53.77K","-16.67%"
"10/01/2006","56.27","51.90","58.00","42.50","47.68K","2.65%"
"09/01/2006","54.82","43.40","56.50","33.17","63.38K","26.14%"
"08/01/2006","43.46","37.35","43.60","32.50","34.11K","15.25%"
"07/01/2006","37.71","39.00","41.95","37.65","38.28K","-4.70%"
"06/01/2006","39.57","39.10","40.15","35.70","32.46K","1.98%"
"05/01/2006","38.80","39.00","39.50","30.75","42.51K","-1.67%"
"04/01/2006","39.46","43.60","44.05","39.45","33.86K","-9.79%"
"03/01/2006","43.74","44.95","62.00","43.65","32.85K","-2.84%"
"02/01/2006","45.02","59.25","71.00","44.50","45.04K","-26.73%"
"01/01/2006","61.44","85.00","90.00","60.55","41.33K","-24.89%"
"12/01/2005","81.80","107.90","114.00","79.50","34.98K","-23.89%"
"11/01/2005","107.47","59.40","117.00","56.50","46.81K","79.12%"
"10/01/2005","60.00","48.50","60.25","44.30","29.14K","23.66%"
"09/01/2005","48.52","41.01","49.02","34.80","32.51K","18.98%"
"08/01/2005","40.78","34.65","40.80","30.50","22.45K","16.98%"
"07/01/2005","34.86","31.85","34.95","31.43","25.91K","8.84%"
"06/01/2005","32.03","29.35","32.30","26.25","24.67K","7.95%"
"05/01/2005","29.67","30.00","31.42","29.50","28.59K","1.64%"
"04/01/2005","29.19","30.15","31.20","28.91","31.71K","-2.64%"
"03/01/2005","29.98","30.00","34.75","29.76","29.61K","-1.32%"
"02/01/2005","30.38","28.44","44.20","26.42","39.77K","6.30%"
"01/01/2005","28.58","32.25","32.75","28.40","45.02K","-15.39%"
"12/01/2004","33.78","42.25","42.25","32.80","41.85K","-21.64%"
"11/01/2004","43.11","40.00","44.25","33.80","47.22K","7.00%"
"10/01/2004","40.29","37.80","43.00","30.25","58.06K","2.73%"
"09/01/2004","39.22","29.69","39.50","26.25","49.07K","32.46%"
"08/01/2004","29.61","20.67","29.67","20.60","40.46K","41.95%"
"07/01/2004","20.86","22.30","22.30","20.75","38.60K","-6.62%"
"06/01/2004","22.34","21.20","22.40","19.70","34.64K","4.74%"
"05/01/2004","21.33","20.05","22.00","20.05","31.27K","6.76%"
"04/01/2004","19.98","18.85","20.65","18.74","33.51K","5.94%"
"03/01/2004","18.86","20.00","21.00","18.84","52.12K","-4.80%"
"02/01/2004","19.81","21.30","22.00","19.52","51.89K","-8.12%"
"01/01/2004","21.56","32.00","32.00","21.53","44.57K","-33.02%"
"12/01/2003","32.19","33.55","34.10","31.83","32.21K","-4.85%"
"11/01/2003","33.83","31.50","36.00","29.60","82.96K","8.46%"
"10/01/2003","31.19","24.10","33.40","24.10","90.20K","29.10%"
"09/01/2003","24.16","19.35","24.25","18.47","53.58K","24.54%"
"08/01/2003","19.40","15.85","19.40","13.42","58.56K","22.17%"
"07/01/2003","15.88","17.15","17.30","15.83","63.34K","-5.64%"
"06/01/2003","16.83","16.20","17.45","16.00","70.64K","2.62%"
"05/01/2003","16.40","15.50","17.79","15.27","68.67K","6.49%"
"04/01/2003","15.40","16.45","16.70","15.25","75.97K","-4.94%"
"03/01/2003","16.20","17.50","18.50","16.05","71.16K","-3.51%"
"02/01/2003","16.79","16.50","19.85","15.90","83.44K","0.48%"
"01/01/2003","16.71","23.75","25.20","16.56","78.66K","-25.83%"
"12/01/2002","22.53","24.26","27.91","21.47","77.01K","-7.13%"
"11/01/2002","24.26","23.35","24.55","20.85","63.06K","2.15%"
"10/01/2002","23.75","20.52","24.10","19.40","64.34K","14.13%"
"09/01/2002","20.81","16.50","20.83","16.34","49.26K","25.66%"
"08/01/2002","16.56","12.78","16.60","11.97","56.27K","33.76%"
"07/01/2002","12.38","14.00","14.60","11.22","56.71K","-8.63%"
"06/01/2002","13.55","11.91","13.65","11.78","52.36K","11.07%"
"05/01/2002","12.20","12.62","12.70","11.20","57.45K","-5.94%"
"04/01/2002","12.97","13.10","13.25","11.37","48.19K","-5.95%"
"03/01/2002","13.79","16.85","16.85","13.71","39.26K","-16.12%"
"02/01/2002","16.44","20.11","20.11","15.85","34.58K","-18.00%"
"01/01/2002","20.05","28.30","28.90","19.99","34.37K","-26.45%"
"12/01/2001","27.26","26.10","29.50","25.97","39.10K","6.61%"
"11/01/2001","25.57","22.00","26.10","21.61","40.92K","15.08%"
"10/01/2001","22.22","22.85","23.10","19.10","32.88K","-2.59%"
"09/01/2001","22.81","20.42","22.90","19.55","28.53K","11.70%"
"08/01/2001","20.42","17.07","20.50","16.20","34.13K","20.47%"
"07/01/2001","16.95","17.00","19.56","16.90","31.59K","-2.92%"
"06/01/2001","17.46","21.30","21.35","16.33","28.48K","-17.02%"
"05/01/2001","21.04","22.50","23.35","20.15","28.29K","-5.86%"
"04/01/2001","22.35","21.05","23.78","21.00","30.60K","5.62%"
"03/01/2001","21.16","22.90","23.75","21.05","30.74K","-7.36%"
"02/01/2001","22.84","24.00","26.60","22.75","47.74K","-2.43%"
"01/01/2001","23.41","25.20","29.15","23.30","57.08K","-13.01%"
"12/01/2000","26.91","31.20","31.64","26.65","51.63K","-15.32%"
"11/01/2000","31.78","26.05","32.09","25.62","52.79K","19.34%"
"10/01/2000","26.63","23.15","29.00","22.80","47.82K","14.69%"
"09/01/2000","23.22","19.45","24.05","19.41","46.09K","19.63%"
"08/01/2000","19.41","15.64","19.65","14.00","45.54K","20.56%"
"07/01/2000","16.10","17.05","18.70","15.95","37.50K","-5.96%"
"06/01/2000","17.12","19.00","20.30","15.80","36.82K","-18.09%"
"05/01/2000","20.90","14.15","24.30","14.15","39.99K","48.65%"
"04/01/2000","14.06","12.38","16.50","12.08","26.35K","18.75%"
"03/01/2000","11.84","12.05","14.09","11.55","34.58K","-1.74%"
"02/01/2000","12.05","11.64","14.26","11.64","20.72K","4.15%"
"01/01/2000","11.57","11.65","14.70","11.40","18.28K","-3.34%"
