"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2018","96.00","95.25","97.00","95.00","0.22K","1.05%"
"05/01/2018","95.00","85.00","96.35","84.90","0.57K","11.50%"
"04/01/2018","85.20","78.75","85.25","78.75","1.09K","7.17%"
"03/01/2018","79.50","80.00","81.75","77.75","1.40K","-2.51%"
"02/01/2018","81.55","88.50","88.50","81.00","1.07K","-8.98%"
"01/01/2018","89.60","97.50","97.50","89.90","1.29K","-5.49%"
"12/01/2017","94.80","93.40","95.65","93.25","0.26K","2.27%"
"11/01/2017","92.70","95.00","95.00","91.75","0.57K","-2.22%"
"10/01/2017","94.80","92.85","94.25","90.00","0.69K","3.72%"
"09/01/2017","91.40","87.80","88.40","87.80","0.51K","4.28%"
"08/01/2017","87.65","82.95","89.90","82.00","0.98K","5.29%"
"07/01/2017","83.25","84.40","85.50","83.25","1.01K","5.38%"
"06/01/2017","79.00","76.80","78.75","76.70","0.29K","3.20%"
"05/01/2017","76.55","74.10","77.00","72.75","0.52K","1.39%"
"04/01/2017","75.50","77.10","77.90","75.10","0.48K","1.75%"
"03/01/2017","74.20","78.10","78.65","74.00","0.61K","-4.75%"
"02/01/2017","77.90","85.70","85.70","77.90","1.22K","-8.68%"
"01/01/2017","85.30","84.00","90.00","82.00","1.09K","-5.43%"
"12/01/2016","90.20","84.15","89.00","80.00","0.68K","5.37%"
"11/01/2016","85.60","86.30","88.00","85.00","1.02K","1.48%"
"10/01/2016","84.35","73.10","79.80","73.10","0.56K","34.32%"
"09/01/2016","62.80","60.70","60.70","60.70","0.38K","2.45%"
"08/01/2016","61.30","61.20","61.20","58.35","0.78K","7.26%"
"07/01/2016","57.15","57.15","57.15","57.15","0.59K","3.91%"
"06/01/2016","55.00","51.90","53.15","50.80","0.51K","7.53%"
"05/01/2016","51.15","47.20","48.30","47.20","0.48K","11.80%"
"04/01/2016","45.75","45.75","45.75","45.75","0.37K","1.78%"
"03/01/2016","44.95","44.95","44.95","44.95","0.31K","1.47%"
"02/01/2016","44.30","44.30","44.30","44.30","0.86K","-3.17%"
"01/01/2016","45.75","45.75","45.75","45.75","0.35K","-3.58%"
"12/01/2015","47.45","48.05","48.05","48.05","0.30K","-5.01%"
"11/01/2015","49.95","49.95","49.95","49.95","0.21K","-4.77%"
"10/01/2015","52.45","52.45","52.45","52.45","0.43K","2.04%"
"09/01/2015","51.40","55.25","55.25","51.60","0.43K","-7.89%"
"08/01/2015","55.80","57.05","57.05","56.80","0.44K","-4.53%"
"07/01/2015","58.45","58.65","58.65","58.65","0.29K","-2.91%"
"06/01/2015","60.20","59.40","60.10","59.40","0.29K","2.29%"
"05/01/2015","58.85","58.85","58.85","58.85","0.25K","-1.59%"
"04/01/2015","59.80","60.00","60.00","59.70","1.19K","1.61%"
"03/01/2015","58.85","63.35","63.35","63.35","0.66K","-4.77%"
"02/01/2015","61.80","61.80","61.80","61.80","0.97K","5.10%"
"01/01/2015","58.80","58.80","58.80","58.80","0.32K","-11.91%"
"12/01/2014","66.75","73.00","73.00","73.00","0.51K","-9.68%"
"11/01/2014","73.90","73.90","73.90","73.90","0.32K","1.44%"
"10/01/2014","72.85","72.25","72.25","71.40","0.24K","0.90%"
"09/01/2014","72.20","72.20","72.20","72.20","0.46K","-6.17%"
"08/01/2014","76.95","76.95","76.95","76.95","0.43K","0.85%"
"07/01/2014","76.30","73.60","73.60","73.55","1.35K","4.23%"
"06/01/2014","73.20","74.30","74.30","73.25","0.84K","-2.07%"
"05/01/2014","74.75","74.75","74.75","74.75","1.61K","-0.40%"
"04/01/2014","75.05","75.05","75.05","75.05","0.54K","-3.22%"
"03/01/2014","77.55","77.55","77.55","77.55","0.51K","0.58%"
"02/01/2014","77.10","79.55","79.55","79.55","0.68K","-7.33%"
"01/01/2014","83.20","83.20","83.20","83.20","0.61K","2.02%"
"12/01/2013","81.55","81.55","81.55","81.55","0.36K","-3.38%"
"11/01/2013","84.40","83.00","83.90","83.00","0.32K","0.78%"
"10/01/2013","83.75","86.10","86.15","83.40","0.61K","1.39%"
"09/01/2013","82.60","78.50","78.50","78.50","0.29K","9.26%"
"08/01/2013","75.60","75.60","75.60","75.60","0.30K","-0.98%"
"07/01/2013","76.35","76.35","76.35","76.35","0.52K","2.41%"
"06/01/2013","74.55","74.55","74.55","74.55","0.45K","-9.14%"
"05/01/2013","82.05","82.05","82.05","82.05","0.40K","-2.26%"
"04/01/2013","83.95","83.95","83.95","83.95","1.05K","-1.70%"
"03/01/2013","85.40","85.40","85.40","85.40","0.27K","-5.74%"
"02/01/2013","90.60","90.60","90.60","90.60","0.83K","5.29%"
"01/01/2013","86.05","86.05","86.05","86.05","0.78K","-4.34%"
"12/01/2012","89.95","89.95","89.95","89.95","0.90K","0.50%"
"11/01/2012","89.50","89.50","89.50","89.50","0.49K","4.68%"
"10/01/2012","85.50","85.50","85.50","85.50","0.59K","-4.47%"
"09/01/2012","89.50","89.50","89.50","89.50","0.24K","-4.69%"
"08/01/2012","93.90","93.90","93.90","93.90","0.35K","-0.42%"
"07/01/2012","94.30","94.30","94.30","94.30","0.64K","8.77%"
"06/01/2012","86.70","86.70","86.70","86.70","0.51K","-1.92%"
"05/01/2012","88.40","88.40","88.40","88.40","1.42K","-3.02%"
"04/01/2012","91.15","91.15","91.15","91.15","1.29K","-7.93%"
"03/01/2012","99.00","99.00","99.00","99.00","0.73K","1.38%"
"02/01/2012","97.65","97.65","97.65","97.65","1.38K","-5.06%"
"01/01/2012","102.85","104.75","104.75","104.75","1.14K","-6.67%"
"12/01/2011","110.20","110.20","110.20","110.20","0.53K","-1.69%"
"11/01/2011","112.10","112.10","112.10","112.10","0.95K","-5.00%"
"10/01/2011","118.00","118.00","118.00","118.00","0.66K","-3.71%"
